"Task","CC1","GN1","NS1","BU1","FA1","LD1","BZ1","FC1","FP1","RP1","PP1","KA1","SC1","TS1","NV1","MA1","LB1","AF1","HU1","Price1","CC2","GN2","NS2","BU2","FA2","LD2","BZ2","FC2","FP2","RP2","PP2","KA2","SC2","TS2","NV2","MA2","LB2","AF2","HU2","Price2","CC3","GN3","NS3","BU3","FA3","LD3","BZ3","FC3","FP3","RP3","PP3","KA3","SC3","TS3","NV3","MA3","LB3","AF3","HU3","Price3","CC4","GN4","NS4","BU4","FA4","LD4","BZ4","FC4","FP4","RP4","PP4","KA4","SC4","TS4","NV4","MA4","LB4","AF4","HU4","Price4","segmentind","yearind","milesind","nightind","pparkind","genderind","ageind","educind","regionind","Urbind","incomeind","Choice"
1,2,0,0,2,0,0,2,2,0,0,0,2,2,0,1,0,4,0,2,8,2,0,0,1,0,0,2,2,0,0,0,2,2,0,2,0,4,0,1,12,1,0,0,5,0,0,1,1,0,0,0,1,4,0,1,0,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
2,0,2,3,0,0,3,0,0,1,1,0,0,0,1,3,2,0,3,0,11,0,2,1,0,0,1,0,0,2,2,0,0,0,1,2,4,0,1,0,4,0,2,2,0,0,3,0,0,1,1,0,0,0,3,2,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
3,1,0,0,0,0,3,0,1,1,0,1,0,0,0,2,2,1,1,0,4,3,0,0,0,0,2,0,2,1,0,1,0,0,0,3,3,1,2,0,2,2,0,0,0,0,1,0,1,4,0,1,0,0,0,1,3,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
4,0,1,4,6,1,0,2,0,0,0,1,2,1,1,0,0,0,0,0,3,0,1,1,1,1,0,1,0,0,0,1,1,2,2,0,0,0,0,0,12,0,1,4,2,2,0,2,0,0,0,2,2,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
5,3,1,1,0,1,0,2,0,0,1,0,0,0,0,2,0,1,0,2,7,1,2,3,0,1,0,2,0,0,1,0,0,0,0,3,0,1,0,1,2,2,2,4,0,1,0,3,0,0,2,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
6,0,0,0,1,0,0,0,1,2,2,3,1,0,1,0,3,0,3,0,8,0,0,0,1,0,0,0,2,3,1,2,1,0,2,0,3,0,2,0,1,0,0,0,4,0,0,0,1,3,1,3,2,0,2,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
7,0,0,0,1,0,3,2,0,1,0,0,0,3,2,1,0,0,3,1,9,0,0,0,1,0,1,3,0,4,0,0,0,1,3,3,0,0,3,2,11,0,0,0,5,0,2,3,0,1,0,0,0,2,3,2,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
8,1,2,2,0,0,0,0,1,0,2,3,1,3,0,0,1,0,0,0,11,2,2,3,0,0,0,0,1,0,2,1,2,3,0,0,1,0,0,0,11,1,2,5,0,0,0,0,1,0,2,3,2,2,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
9,3,2,0,0,2,3,0,0,4,1,0,0,0,2,0,0,3,0,2,4,2,2,0,0,1,2,0,0,4,2,0,0,0,3,0,0,2,0,1,2,2,1,0,0,2,1,0,0,1,2,0,0,0,2,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
10,0,0,1,6,2,3,0,1,0,0,0,2,0,0,1,0,0,3,2,12,0,0,4,1,2,3,0,1,0,0,0,1,0,0,3,0,0,1,1,12,0,0,3,4,2,1,0,2,0,0,0,1,0,0,2,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,4,2,1,1,2,1,5,0
